t,T,s,i,o,c,h,l,v,n
1740038400000,1740041999999,HYPE,1h,24.568,24.698,24.725,24.34,158662.29,6752
1740042000000,1740045599999,HYPE,1h,24.697,24.842,24.898,24.592,142664.5,6239
1740045600000,1740049199999,HYPE,1h,24.834,25.066,25.107,24.742,215254.58,6800
1740049200000,1740052799999,HYPE,1h,25.045,24.993,25.224,24.893,227643.9,9627
1740052800000,1740056399999,HYPE,1h,24.986,24.762,25.163,24.605,170977.34,9043
1740056400000,1740059999999,HYPE,1h,24.762,24.734,25.013,24.549,257208.77,11086
1740060000000,1740063599999,HYPE,1h,24.733,24.645,25.0,24.564,435951.61,13962
1740063600000,1740067199999,HYPE,1h,24.649,24.056,24.742,23.96,399682.12,9967
1740067200000,1740070799999,HYPE,1h,24.055,24.319,24.518,23.98,378253.85,10015
1740070800000,1740074399999,HYPE,1h,24.31,24.672,24.687,24.262,167476.27,6221
1740074400000,1740077999999,HYPE,1h,24.674,24.65,24.932,24.598,178192.68,7542
1740078000000,1740081599999,HYPE,1h,24.648,24.573,24.7,24.352,233094.09,7104
1740081600000,1740085199999,HYPE,1h,24.573,24.706,24.96,24.356,550444.45,12049
1740085200000,1740088799999,HYPE,1h,24.709,24.238,24.717,24.081,327430.6,8136
1740088800000,1740092399999,HYPE,1h,24.223,24.26,24.4,24.205,113201.71,4158
1740092400000,1740095999999,HYPE,1h,24.261,24.479,24.498,24.2,143549.92,5767
1740096000000,1740099599999,HYPE,1h,24.479,24.647,24.675,24.465,141210.89,6319
1740099600000,1740103199999,HYPE,1h,24.651,24.616,24.8,24.501,186330.08,6047
1740103200000,1740106799999,HYPE,1h,24.619,24.566,24.75,24.487,122750.17,4337
1740106800000,1740110399999,HYPE,1h,24.573,24.779,24.809,24.549,129430.97,4562
1740110400000,1740113999999,HYPE,1h,24.779,24.973,24.981,24.759,158978.15,5678
1740114000000,1740117599999,HYPE,1h,24.975,25.03,25.2,24.851,169234.18,4744
1740117600000,1740121199999,HYPE,1h,25.03,25.209,25.3,25.012,146389.46,4219
1740121200000,1740124799999,HYPE,1h,25.208,24.848,25.291,24.848,195323.2,5711
1740124800000,1740128399999,HYPE,1h,24.863,24.998,25.065,24.811,146282.18,4126
1740128400000,1740131999999,HYPE,1h,24.998,25.2,25.446,24.992,252436.32,7493
1740132000000,1740135599999,HYPE,1h,25.2,25.295,25.336,25.063,105183.05,3648
1740135600000,1740139199999,HYPE,1h,25.295,25.019,25.295,24.965,98492.03,3729
1740139200000,1740142799999,HYPE,1h,25.019,25.18,25.22,24.988,100898.41,3681
1740142800000,1740146399999,HYPE,1h,25.187,25.474,25.493,25.098,300160.31,6633
1740146400000,1740149999999,HYPE,1h,25.474,25.194,25.492,25.063,195397.15,6334
1740150000000,1740153599999,HYPE,1h,25.172,25.272,25.294,23.677,1737783.86,35798
1740153600000,1740157199999,HYPE,1h,25.272,25.537,26.0,25.118,1671883.99,34173
1740157200000,1740160799999,HYPE,1h,25.537,24.896,25.629,24.69,827625.99,20468
1740160800000,1740164399999,HYPE,1h,24.897,24.67,25.244,24.65,581116.33,14371
1740164400000,1740167999999,HYPE,1h,24.674,24.207,24.748,23.742,881131.53,24500
1740168000000,1740171599999,HYPE,1h,24.206,24.591,24.689,24.084,475140.65,13875
1740171600000,1740175199999,HYPE,1h,24.59,24.736,24.889,24.369,376666.06,12828
1740175200000,1740178799999,HYPE,1h,24.729,24.852,25.145,24.675,303772.1,9866
1740178800000,1740182399999,HYPE,1h,24.843,25.058,25.094,24.637,173051.6,7290
1740182400000,1740185999999,HYPE,1h,25.047,24.983,25.051,24.601,278391.69,8708
1740186000000,1740189599999,HYPE,1h,24.986,24.905,25.188,24.897,121152.53,5397
1740189600000,1740193199999,HYPE,1h,24.907,24.902,25.1,24.858,139689.59,4970
1740193200000,1740196799999,HYPE,1h,24.897,24.832,25.04,24.817,95847.12,4656
1740196800000,1740200399999,HYPE,1h,24.832,24.826,24.858,24.75,94071.28,4640
1740200400000,1740203999999,HYPE,1h,24.826,24.84,24.858,24.72,83631.18,6121
1740204000000,1740207599999,HYPE,1h,24.836,24.728,24.858,24.672,116484.79,5145
1740207600000,1740211199999,HYPE,1h,24.727,24.434,24.731,24.381,103081.93,4325
1740211200000,1740214799999,HYPE,1h,24.435,24.291,24.481,24.25,104820.99,5210
1740214800000,1740218399999,HYPE,1h,24.293,24.36,24.492,24.22,131757.1,7212
1740218400000,1740221999999,HYPE,1h,24.358,24.52,24.581,24.357,90998.76,5378
1740222000000,1740225599999,HYPE,1h,24.523,24.564,24.621,24.482,74633.54,5427
1740225600000,1740229199999,HYPE,1h,24.563,24.671,24.704,24.491,102134.81,5271
1740229200000,1740232799999,HYPE,1h,24.67,24.658,24.775,24.624,104812.55,4587
1740232800000,1740236399999,HYPE,1h,24.668,24.595,24.768,24.501,153983.62,5737
1740236400000,1740239999999,HYPE,1h,24.611,24.658,24.75,24.572,116975.04,4988
1740240000000,1740243599999,HYPE,1h,24.653,24.631,24.785,24.63,96899.5,4281
1740243600000,1740247199999,HYPE,1h,24.631,24.474,24.651,24.4,140405.03,5086
1740247200000,1740250799999,HYPE,1h,24.475,24.51,24.632,24.474,60366.65,3085
1740250800000,1740254399999,HYPE,1h,24.513,24.814,24.826,24.45,216182.58,7765
1740254400000,1740257999999,HYPE,1h,24.824,24.899,24.976,24.73,116171.48,4956
1740258000000,1740261599999,HYPE,1h,24.9,24.852,25.062,24.75,164206.37,4202
1740261600000,1740265199999,HYPE,1h,24.857,24.805,24.895,24.765,34487.64,1731
1740265200000,1740268799999,HYPE,1h,24.805,24.741,24.874,24.741,49750.02,2139
1740268800000,1740272399999,HYPE,1h,24.789,24.49,24.813,24.407,202951.26,6853
1740272400000,1740275999999,HYPE,1h,24.491,24.331,24.525,24.243,157911.71,8040
1740276000000,1740279599999,HYPE,1h,24.33,24.279,24.359,24.279,115016.15,4881
1740279600000,1740283199999,HYPE,1h,24.281,24.323,24.42,24.231,104966.34,4937
1740283200000,1740286799999,HYPE,1h,24.325,24.171,24.337,24.151,81223.34,4282
1740286800000,1740290399999,HYPE,1h,24.18,24.123,24.233,24.106,105375.43,4365
1740290400000,1740293999999,HYPE,1h,24.12,24.347,24.398,24.112,99521.06,4203
1740294000000,1740297599999,HYPE,1h,24.343,24.408,24.476,24.26,146088.11,5056
1740297600000,1740301199999,HYPE,1h,24.408,24.21,24.429,24.209,95499.18,3877
1740301200000,1740304799999,HYPE,1h,24.211,24.19,24.288,24.153,68300.93,3150
1740304800000,1740308399999,HYPE,1h,24.186,23.836,24.219,23.8,243902.37,7166
1740308400000,1740311999999,HYPE,1h,23.833,23.73,24.004,23.65,187859.2,6440
1740312000000,1740315599999,HYPE,1h,23.73,23.49,23.895,23.37,284637.88,9061
1740315600000,1740319199999,HYPE,1h,23.489,23.737,23.756,23.434,149824.67,5624
1740319200000,1740322799999,HYPE,1h,23.736,23.495,23.893,23.449,118368.23,4865
1740322800000,1740326399999,HYPE,1h,23.495,23.517,23.604,23.42,164189.05,5987
1740326400000,1740329999999,HYPE,1h,23.536,23.657,23.743,23.522,92944.45,4879
1740330000000,1740333599999,HYPE,1h,23.672,23.866,23.98,23.658,137716.03,5387
1740333600000,1740337199999,HYPE,1h,23.865,23.725,23.966,23.689,214310.62,6893
1740337200000,1740340799999,HYPE,1h,23.71,23.566,23.726,23.35,218028.72,7202
1740340800000,1740344399999,HYPE,1h,23.57,23.366,23.609,23.33,132238.58,4332
1740344400000,1740347999999,HYPE,1h,23.366,23.454,23.492,23.284,106273.62,3561
1740348000000,1740351599999,HYPE,1h,23.455,23.118,23.455,23.072,311596.97,8778
1740351600000,1740355199999,HYPE,1h,23.124,23.164,23.28,22.8,436379.1,9971
1740355200000,1740358799999,HYPE,1h,23.179,23.168,23.5,23.008,307928.37,11237
1740358800000,1740362399999,HYPE,1h,23.175,22.648,23.178,22.552,491385.76,14455
1740362400000,1740365999999,HYPE,1h,22.648,22.667,22.844,22.541,314032.85,10774
1740366000000,1740369599999,HYPE,1h,22.673,22.276,22.673,22.189,513647.11,13648
1740369600000,1740373199999,HYPE,1h,22.28,21.86,22.4,21.36,1335039.74,26858
1740373200000,1740376799999,HYPE,1h,21.855,21.98,22.222,21.504,467899.3,13289
1740376800000,1740380399999,HYPE,1h,21.98,21.878,22.132,21.727,186508.07,7423
1740380400000,1740383999999,HYPE,1h,21.879,21.584,21.943,21.522,393453.5,10154
1740384000000,1740387599999,HYPE,1h,21.586,20.9,21.688,20.9,629278.72,16756
1740387600000,1740391199999,HYPE,1h,20.9,21.357,21.579,20.837,522354.47,13878
1740391200000,1740394799999,HYPE,1h,21.357,21.414,21.572,20.871,531667.32,17241
1740394800000,1740398399999,HYPE,1h,21.409,21.939,21.959,21.342,347858.24,12674
1740398400000,1740401999999,HYPE,1h,21.939,22.04,22.063,21.705,250465.15,10067
1740402000000,1740405599999,HYPE,1h,22.033,21.488,22.225,21.451,484512.98,14280
1740405600000,1740409199999,HYPE,1h,21.472,20.973,21.608,20.91,739929.22,18605
1740409200000,1740412799999,HYPE,1h,20.989,21.247,21.27,20.812,793005.72,17587
1740412800000,1740416399999,HYPE,1h,21.248,21.42,21.7,21.091,469567.11,14350
1740416400000,1740419999999,HYPE,1h,21.423,21.637,21.833,21.41,258245.44,8335
1740420000000,1740423599999,HYPE,1h,21.637,21.308,21.769,21.274,210876.62,6375
1740423600000,1740427199999,HYPE,1h,21.308,20.593,21.394,20.5,750631.03,16861
1740427200000,1740430799999,HYPE,1h,20.593,20.556,20.942,20.5,665732.17,18475
1740430800000,1740434399999,HYPE,1h,20.576,20.347,20.698,20.345,474818.35,13125
1740434400000,1740437999999,HYPE,1h,20.345,20.075,20.637,20.05,1055945.77,19549
1740438000000,1740441599999,HYPE,1h,20.082,19.902,20.541,19.835,1260452.49,25862
1740441600000,1740445199999,HYPE,1h,19.902,19.825,20.32,19.265,2119158.1,36116
1740445200000,1740448799999,HYPE,1h,19.824,19.75,20.209,19.349,757532.0,20204
1740448800000,1740452399999,HYPE,1h,19.75,19.568,20.003,19.011,1318624.54,26030
1740452400000,1740455999999,HYPE,1h,19.559,18.531,19.751,17.586,3907254.45,58543
1740456000000,1740459599999,HYPE,1h,18.51,18.643,19.172,17.92,1458775.22,30343
1740459600000,1740463199999,HYPE,1h,18.643,19.037,19.382,18.536,831091.02,17908
1740463200000,1740466799999,HYPE,1h,19.041,19.113,19.378,18.517,798994.77,15794
1740466800000,1740470399999,HYPE,1h,19.113,18.713,19.18,17.774,1723257.3,35637
1740470400000,1740473999999,HYPE,1h,18.72,18.92,19.263,18.464,899978.54,20260
1740474000000,1740477599999,HYPE,1h,18.912,17.894,19.214,17.89,867994.25,23523
1740477600000,1740481199999,HYPE,1h,17.894,17.729,18.084,17.036,2066867.87,37230
1740481200000,1740484799999,HYPE,1h,17.725,18.61,18.75,17.333,990768.19,20844
1740484800000,1740488399999,HYPE,1h,18.61,19.386,19.391,18.34,884053.74,19756
1740488400000,1740491999999,HYPE,1h,19.385,19.147,19.391,18.797,631181.62,14819
1740492000000,1740495599999,HYPE,1h,19.155,18.408,19.285,18.03,966419.01,20250
1740495600000,1740499199999,HYPE,1h,18.407,19.567,19.85,18.167,1447905.96,27052
1740499200000,1740502799999,HYPE,1h,19.559,19.64,19.883,19.264,959646.03,19248
1740502800000,1740506399999,HYPE,1h,19.655,19.69,19.918,19.537,597172.74,12794
1740506400000,1740509999999,HYPE,1h,19.694,18.852,19.699,18.8,546122.44,12595
1740510000000,1740513599999,HYPE,1h,18.852,19.793,19.865,18.802,482033.22,12577
1740513600000,1740517199999,HYPE,1h,19.787,20.384,20.545,19.7,1040012.59,18148
1740517200000,1740520799999,HYPE,1h,20.384,20.704,20.759,20.171,469675.67,11810
1740520800000,1740524399999,HYPE,1h,20.702,20.137,20.798,19.927,609216.59,13447
1740524400000,1740527999999,HYPE,1h,20.146,20.219,20.846,20.124,494392.11,10608
1740528000000,1740531599999,HYPE,1h,20.219,20.09,20.522,20.069,292663.82,7826
1740531600000,1740535199999,HYPE,1h,20.091,21.067,21.103,20.052,459609.86,9955
1740535200000,1740538799999,HYPE,1h,21.066,21.112,21.114,20.608,404837.9,9535
1740538800000,1740542399999,HYPE,1h,21.11,20.754,21.479,20.588,941649.87,17445
1740542400000,1740545999999,HYPE,1h,20.759,20.626,21.2,20.541,542454.71,13068
1740546000000,1740549599999,HYPE,1h,20.627,20.47,20.891,20.434,221800.09,6416
1740549600000,1740553199999,HYPE,1h,20.471,21.043,21.046,20.411,226912.19,6081
1740553200000,1740556799999,HYPE,1h,21.046,20.539,21.111,20.402,337801.5,7396
1740556800000,1740560399999,HYPE,1h,20.538,19.932,20.644,19.407,580492.07,14905
1740560400000,1740563999999,HYPE,1h,19.932,20.489,20.524,19.608,251386.93,8004
1740564000000,1740567599999,HYPE,1h,20.489,20.484,20.548,20.199,358080.8,7217
1740567600000,1740571199999,HYPE,1h,20.478,20.054,20.6,20.0,207861.42,5794
1740571200000,1740574799999,HYPE,1h,20.055,19.72,20.226,19.57,310920.09,10235
1740574800000,1740578399999,HYPE,1h,19.72,19.576,19.998,19.551,410290.53,10322
1740578400000,1740581999999,HYPE,1h,19.575,20.355,20.499,19.157,1072439.9,22922
1740582000000,1740585599999,HYPE,1h,20.354,20.164,20.63,20.158,447242.74,13817
1740585600000,1740589199999,HYPE,1h,20.164,19.943,20.403,19.621,530245.84,15056
1740589200000,1740592799999,HYPE,1h,19.94,19.45,20.156,19.211,557262.2,11979
1740592800000,1740596399999,HYPE,1h,19.45,19.03,19.582,18.818,922825.09,18963
1740596400000,1740599999999,HYPE,1h,19.032,18.74,19.335,18.534,671005.99,15265
1740600000000,1740603599999,HYPE,1h,18.74,19.912,19.93,18.45,1021983.63,21177
1740603600000,1740607199999,HYPE,1h,19.912,19.669,19.975,19.1,901867.43,19413
1740607200000,1740610799999,HYPE,1h,19.669,19.648,20.158,19.644,575550.78,14712
1740610800000,1740614399999,HYPE,1h,19.65,19.578,19.938,19.344,238719.61,6988
1740614400000,1740617999999,HYPE,1h,19.58,20.087,20.199,19.569,400751.47,9165
1740618000000,1740621599999,HYPE,1h,20.088,20.303,20.499,19.851,319855.86,8954
1740621600000,1740625199999,HYPE,1h,20.303,19.824,20.886,19.801,494366.52,13022
1740625200000,1740628799999,HYPE,1h,19.827,20.221,20.306,19.8,326622.17,10573
1740628800000,1740632399999,HYPE,1h,20.221,20.199,20.297,19.827,450300.01,13108
1740632400000,1740635999999,HYPE,1h,20.19,20.667,20.8,20.136,316846.63,9120
1740636000000,1740639599999,HYPE,1h,20.666,20.774,20.954,20.625,231173.5,6553
1740639600000,1740643199999,HYPE,1h,20.774,20.759,20.909,20.605,205814.34,5442
1740643200000,1740646799999,HYPE,1h,20.759,20.617,20.806,20.382,207151.21,7084
1740646800000,1740650399999,HYPE,1h,20.617,20.93,20.967,20.6,267417.44,7302
1740650400000,1740653999999,HYPE,1h,20.931,21.093,21.094,20.808,218387.19,5967
1740654000000,1740657599999,HYPE,1h,21.094,20.761,21.23,20.65,236410.27,7212
1740657600000,1740661199999,HYPE,1h,20.757,20.505,20.772,20.361,272228.89,7162
1740661200000,1740664799999,HYPE,1h,20.505,20.364,20.639,20.24,258668.15,6998
1740664800000,1740668399999,HYPE,1h,20.366,20.107,20.586,20.068,381457.06,10018
1740668400000,1740671999999,HYPE,1h,20.105,20.421,20.513,20.0,299011.72,8669
1740672000000,1740675599999,HYPE,1h,20.417,20.041,20.668,20.003,276671.68,8345
1740675600000,1740679199999,HYPE,1h,20.04,20.278,20.279,19.844,281489.54,8683
1740679200000,1740682799999,HYPE,1h,20.278,20.397,20.502,20.202,150081.42,5260
1740682800000,1740686399999,HYPE,1h,20.396,20.205,20.411,19.981,224348.77,6697
1740686400000,1740689999999,HYPE,1h,20.207,20.159,20.319,19.664,629212.28,17048
1740690000000,1740693599999,HYPE,1h,20.164,20.688,20.729,20.038,415326.36,10821
1740693600000,1740697199999,HYPE,1h,20.689,20.707,20.707,20.421,164112.13,6023
1740697200000,1740700799999,HYPE,1h,20.706,20.915,20.929,20.618,236730.97,5721
1740700800000,1740704399999,HYPE,1h,20.915,20.553,20.923,20.354,342884.08,7416
1740704400000,1740707999999,HYPE,1h,20.557,19.37,20.584,19.211,860994.71,20751
1740708000000,1740711599999,HYPE,1h,19.377,19.465,19.779,18.911,1267373.07,24557
1740711600000,1740715199999,HYPE,1h,19.469,18.746,19.856,18.707,951823.83,15728
1740715200000,1740718799999,HYPE,1h,18.745,19.163,19.181,18.5,851210.33,15464
1740718800000,1740722399999,HYPE,1h,19.163,18.807,19.24,18.51,546033.64,12467
1740722400000,1740725999999,HYPE,1h,18.807,18.982,19.2,18.608,506184.54,12057
1740726000000,1740729599999,HYPE,1h,18.988,19.023,19.436,18.82,359706.97,9719
1740729600000,1740733199999,HYPE,1h,19.019,19.134,19.325,18.87,370579.22,9171
1740733200000,1740736799999,HYPE,1h,19.135,19.74,19.838,19.102,499004.6,14035
1740736800000,1740740399999,HYPE,1h,19.736,19.356,19.77,19.251,222373.66,7208
1740740400000,1740743999999,HYPE,1h,19.352,19.512,19.719,19.277,239128.95,6364
1740744000000,1740747599999,HYPE,1h,19.513,19.477,19.578,19.309,173461.92,6025
1740747600000,1740751199999,HYPE,1h,19.478,19.726,19.984,19.428,468724.95,11682
1740751200000,1740754799999,HYPE,1h,19.728,19.925,20.078,19.445,713811.18,17366
1740754800000,1740758399999,HYPE,1h,19.925,20.025,20.52,19.831,969146.98,18962
1740758400000,1740761999999,HYPE,1h,20.024,19.554,20.116,19.425,528472.86,12993
1740762000000,1740765599999,HYPE,1h,19.558,19.262,19.778,19.05,483273.4,10463
1740765600000,1740769199999,HYPE,1h,19.26,19.59,19.639,19.073,289935.46,6921
1740769200000,1740772799999,HYPE,1h,19.594,19.782,19.798,19.452,239385.34,7357
1740772800000,1740776399999,HYPE,1h,19.781,19.582,19.876,19.478,330666.32,8042
1740776400000,1740779999999,HYPE,1h,19.587,19.82,19.974,19.585,359429.44,7816
1740780000000,1740783599999,HYPE,1h,19.815,19.781,19.931,19.581,209050.42,6458
1740783600000,1740787199999,HYPE,1h,19.777,19.939,20.129,19.611,257756.36,6738
1740787200000,1740790799999,HYPE,1h,19.946,19.635,20.1,19.61,155408.68,4957
1740790800000,1740794399999,HYPE,1h,19.635,19.978,19.989,19.573,119649.25,3711
1740794400000,1740797999999,HYPE,1h,19.978,20.29,20.321,19.845,327969.22,6261
1740798000000,1740801599999,HYPE,1h,20.288,20.46,20.46,20.045,270593.82,6904
1740801600000,1740805199999,HYPE,1h,20.459,20.432,20.501,20.33,240596.86,5694
1740805200000,1740808799999,HYPE,1h,20.431,20.053,20.479,19.946,365070.53,6886
1740808800000,1740812399999,HYPE,1h,20.053,20.13,20.178,19.997,119173.71,4410
1740812400000,1740815999999,HYPE,1h,20.129,20.02,20.147,19.852,143432.46,3775
1740816000000,1740819599999,HYPE,1h,20.017,20.115,20.132,19.924,79363.88,3368
1740819600000,1740823199999,HYPE,1h,20.115,19.747,20.211,19.698,155455.69,4849
1740823200000,1740826799999,HYPE,1h,19.747,19.356,19.788,19.293,333893.35,7542
1740826800000,1740830399999,HYPE,1h,19.356,19.328,19.365,18.948,365355.96,10415
1740830400000,1740833999999,HYPE,1h,19.328,19.403,19.494,19.125,196193.09,5715
1740834000000,1740837599999,HYPE,1h,19.399,19.141,19.512,18.983,201082.35,7030
1740837600000,1740841199999,HYPE,1h,19.145,19.248,19.263,19.074,97053.09,3742
1740841200000,1740844799999,HYPE,1h,19.249,19.326,19.348,19.101,135064.29,4436
1740844800000,1740848399999,HYPE,1h,19.326,19.214,19.423,19.079,198043.77,6414
1740848400000,1740851999999,HYPE,1h,19.222,18.955,19.239,18.903,212310.44,5908
1740852000000,1740855599999,HYPE,1h,18.955,19.167,19.192,18.83,182538.46,5090
1740855600000,1740859199999,HYPE,1h,19.167,19.279,19.369,19.136,96115.47,3725
1740859200000,1740862799999,HYPE,1h,19.279,19.294,19.294,19.185,50199.17,2199
1740862800000,1740866399999,HYPE,1h,19.293,19.64,19.659,19.254,141960.92,4269
1740866400000,1740869999999,HYPE,1h,19.631,19.528,19.631,19.379,91965.67,3570
1740870000000,1740873599999,HYPE,1h,19.526,19.599,19.621,19.273,101008.19,3542
1740873600000,1740877199999,HYPE,1h,19.598,19.585,19.826,19.496,175412.93,5109
1740877200000,1740880799999,HYPE,1h,19.584,19.932,19.94,19.584,187669.74,4855
1740880800000,1740884399999,HYPE,1h,19.932,19.777,19.951,19.721,138079.29,4085
1740884400000,1740887999999,HYPE,1h,19.777,19.784,19.873,19.675,84525.35,3340
1740888000000,1740891599999,HYPE,1h,19.779,19.876,19.921,19.667,58976.84,2898
1740891600000,1740895199999,HYPE,1h,19.875,19.841,19.967,19.801,61020.42,3096
1740895200000,1740898799999,HYPE,1h,19.839,19.873,19.924,19.669,94769.65,3539
1740898800000,1740902399999,HYPE,1h,19.87,19.504,19.913,19.353,115031.76,4005
1740902400000,1740905999999,HYPE,1h,19.506,19.394,19.601,19.369,67075.81,3041
1740906000000,1740909599999,HYPE,1h,19.393,19.669,19.775,19.27,121223.06,4953
1740909600000,1740913199999,HYPE,1h,19.668,19.49,19.745,19.417,102686.91,3581
1740913200000,1740916799999,HYPE,1h,19.488,19.214,19.496,19.213,100054.09,3912
1740916800000,1740920399999,HYPE,1h,19.214,19.245,19.315,19.083,161168.64,4259
1740920400000,1740923999999,HYPE,1h,19.244,18.683,19.245,18.5,553191.52,10615
1740924000000,1740927599999,HYPE,1h,18.683,18.667,18.905,18.23,897730.42,19376
1740927600000,1740931199999,HYPE,1h,18.663,18.961,19.437,18.505,1044066.26,21829
1740931200000,1740934799999,HYPE,1h,18.964,20.309,20.838,18.819,1722172.83,34023
1740934800000,1740938399999,HYPE,1h,20.323,20.722,21.014,19.833,1513261.02,29373
1740938400000,1740941999999,HYPE,1h,20.71,20.153,20.836,19.916,925869.83,21414
1740942000000,1740945599999,HYPE,1h,20.151,20.235,20.237,19.824,340926.72,9561
1740945600000,1740949199999,HYPE,1h,20.235,19.944,20.401,19.808,458722.67,10855
1740949200000,1740952799999,HYPE,1h,19.942,19.662,20.111,19.505,521073.78,12022
1740952800000,1740956399999,HYPE,1h,19.665,20.873,20.94,19.54,860337.52,15982
1740956400000,1740959999999,HYPE,1h,20.886,20.531,21.034,20.4,781712.29,20220
1740960000000,1740963599999,HYPE,1h,20.538,20.589,21.099,20.41,606633.8,17993
1740963600000,1740967199999,HYPE,1h,20.59,20.471,20.829,20.4,477885.28,13412
1740967200000,1740970799999,HYPE,1h,20.471,20.3,20.612,20.0,721577.61,15813
1740970800000,1740974399999,HYPE,1h,20.3,20.094,20.306,19.701,532458.35,13815
1740974400000,1740977999999,HYPE,1h,20.095,20.425,20.593,20.031,290159.85,9178
1740978000000,1740981599999,HYPE,1h,20.425,20.119,20.425,19.917,409847.25,13240
1740981600000,1740985199999,HYPE,1h,20.119,19.586,20.137,19.48,344051.29,9645
1740985200000,1740988799999,HYPE,1h,19.591,19.446,19.877,19.146,675425.08,13821
1740988800000,1740992399999,HYPE,1h,19.446,19.168,19.528,18.965,340209.17,8207
1740992400000,1740995999999,HYPE,1h,19.169,19.189,19.37,18.999,464189.28,11143
1740996000000,1740999599999,HYPE,1h,19.186,19.222,19.333,18.988,248852.15,6635
1740999600000,1741003199999,HYPE,1h,19.222,19.358,19.523,19.173,213111.25,6033
1741003200000,1741006799999,HYPE,1h,19.361,19.645,19.745,19.318,315609.72,8579
1741006800000,1741010399999,HYPE,1h,19.644,19.787,20.007,19.606,362378.16,9246
1741010400000,1741013999999,HYPE,1h,19.782,18.897,19.974,18.897,732469.24,15670
1741014000000,1741017599999,HYPE,1h,18.897,19.163,19.376,18.848,470127.79,10239
1741017600000,1741021199999,HYPE,1h,19.158,18.906,19.29,18.835,377787.39,9493
1741021200000,1741024799999,HYPE,1h,18.905,18.71,19.057,18.709,352647.58,8896
1741024800000,1741028399999,HYPE,1h,18.711,18.058,18.729,17.8,1761640.01,39937
1741028400000,1741031999999,HYPE,1h,18.062,17.814,18.44,17.437,1318586.41,28102
1741032000000,1741035599999,HYPE,1h,17.805,17.824,18.048,17.54,739972.66,17190
1741035600000,1741039199999,HYPE,1h,17.826,17.53,18.167,17.44,557783.15,12503
1741039200000,1741042799999,HYPE,1h,17.529,17.75,17.847,17.5,345432.95,9409
1741042800000,1741046399999,HYPE,1h,17.749,17.901,17.996,17.523,432456.48,10599
1741046400000,1741049999999,HYPE,1h,17.897,17.511,18.126,17.432,492506.72,11798
1741050000000,1741053599999,HYPE,1h,17.512,16.419,17.651,15.77,3347293.14,44109
1741053600000,1741057199999,HYPE,1h,16.42,16.57,16.812,15.983,1671556.85,30247
1741057200000,1741060799999,HYPE,1h,16.556,16.504,16.741,16.228,658213.25,14310
1741060800000,1741064399999,HYPE,1h,16.506,15.938,16.511,15.79,756875.9,15820
1741064400000,1741067999999,HYPE,1h,15.94,16.491,16.541,15.935,677534.56,14464
1741068000000,1741071599999,HYPE,1h,16.492,16.481,16.749,16.313,418318.29,13395
1741071600000,1741075199999,HYPE,1h,16.48,16.071,16.606,15.969,454848.81,11906
1741075200000,1741078799999,HYPE,1h,16.071,15.962,16.296,15.917,531028.87,10630
1741078800000,1741082399999,HYPE,1h,15.962,15.379,16.118,15.361,1143944.1,15754
1741082400000,1741085999999,HYPE,1h,15.384,16.529,16.562,15.368,1292683.66,17103
1741086000000,1741089599999,HYPE,1h,16.535,16.247,16.693,16.191,561634.56,11310
1741089600000,1741093199999,HYPE,1h,16.249,16.212,16.401,15.916,490588.55,9460
1741093200000,1741096799999,HYPE,1h,16.213,15.923,16.215,15.556,1016567.72,17031
1741096800000,1741100399999,HYPE,1h,15.924,16.167,16.703,15.86,1266446.92,21512
1741100400000,1741103999999,HYPE,1h,16.169,16.357,16.357,15.659,860750.79,14627
1741104000000,1741107599999,HYPE,1h,16.356,16.014,16.421,15.751,714514.47,15461
1741107600000,1741111199999,HYPE,1h,16.009,16.768,16.979,15.934,743229.7,14036
1741111200000,1741114799999,HYPE,1h,16.765,17.521,17.668,16.66,863310.77,15592
1741114800000,1741118399999,HYPE,1h,17.524,17.479,17.594,17.198,685895.68,13088
1741118400000,1741121999999,HYPE,1h,17.478,16.857,17.484,16.724,602495.97,11135
1741122000000,1741125599999,HYPE,1h,16.859,17.562,17.726,16.725,546858.0,11836
1741125600000,1741129199999,HYPE,1h,17.562,17.3,17.726,17.252,492210.78,8518
1741129200000,1741132799999,HYPE,1h,17.3,17.1,17.586,17.074,317970.34,6835
1741132800000,1741136399999,HYPE,1h,17.09,17.364,17.383,16.922,341239.11,7215
1741136400000,1741139999999,HYPE,1h,17.355,17.77,17.921,17.113,769873.14,12000
1741140000000,1741143599999,HYPE,1h,17.77,17.675,17.83,17.57,430322.43,6700
1741143600000,1741147199999,HYPE,1h,17.673,17.212,17.738,17.204,288454.44,5417
1741147200000,1741150799999,HYPE,1h,17.206,17.125,17.286,16.922,314554.98,7910
1741150800000,1741154399999,HYPE,1h,17.125,16.777,17.233,16.761,352718.23,8195
1741154400000,1741157999999,HYPE,1h,16.784,16.963,16.986,16.616,360074.5,8793
1741158000000,1741161599999,HYPE,1h,16.962,17.138,17.168,16.551,335179.05,7923
1741161600000,1741165199999,HYPE,1h,17.138,17.133,17.441,17.034,361167.96,8880
1741165200000,1741168799999,HYPE,1h,17.131,17.535,17.665,17.117,309243.35,7090
1741168800000,1741172399999,HYPE,1h,17.533,17.507,17.902,17.35,553924.39,10806
1741172400000,1741175999999,HYPE,1h,17.507,17.353,17.616,17.197,263131.03,7789
1741176000000,1741179599999,HYPE,1h,17.352,17.527,17.726,17.347,211985.89,6962
